;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;
;;;;LISTA DE PRECIOS VEHÍCULOS NUEVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Nº 06 - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1 de junio de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Tope CE;;;2,50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;VEHÍCULOS PASAJEROS;LCDV;CIT;;PRECIO LISTA;;;TODO MEDIO DE PAGO;;;;;CRÉDITO CONVENCIONAL;;;;;;COMPRA INTELIGENTE;;;;;;? Precio Lista M-1;? Precio TMP M-1;"? Precio CC
M-1";"? Precio CI
M-1";;Margen Red;Costo CE;Factura Neta;;;;;;;;;
COD EDS;;;;;;CON IVA;SIN IVA;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CORSA MCA;;CORSA MCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOKKA GS 1.2T AT8;;Mokka GS Gasolina 130HP AT;1GQOSYHI21JRA033109;OP9014E60323S00-9;; $24.890.000 ; $20.915.966 ;; $3.000.000 ; $622.250 ; $2.377.750 ; $21.890.000 ;; $3.400.000 ; $622.250 ; $2.377.750 ; $400.000 ; $21.490.000 ;; $4.300.000 ; $622.250 ; $2.377.750 ; $1.300.000 ; $20.590.000 ;;ISO;ISO;ISO;ISO;;9%; $22.649.900 ; $19.033.529 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOKKA MCA;;MOKKA MCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOKKA MCA EDITION 1.2T MT6;;Mokka MCA Edition Plus Gasolina 130HP MT;1GQOSYKP9KJRA050183;OP9015E61124S01-9;; $21.690.000 ; $18.226.891 ;; $3.700.000 ; $542.250 ; $3.157.750 ; $17.990.000 ;; $4.200.000 ; $542.250 ; $3.157.750 ; $500.000 ; $17.490.000 ;; $5.200.000 ; $542.250 ; $3.157.750 ; $1.500.000 ; $16.490.000 ;;ISO;-$2.200.000;-$2.200.000;-$2.200.000;;9%; $19.737.900 ; $16.586.471 ;;;;;;;;;
MOKKA MCA EDITION 1.2T AT8;;Mokka MCA Edition Gasolina 130HP AT;1GQOSYKM61JRA050000;OP9014E61124S01-3;; $21.690.000 ; $18.226.891 ;; $3.200.000 ; $542.250 ; $2.657.750 ; $18.490.000 ;; $3.700.000 ; $542.250 ; $2.657.750 ; $500.000 ; $17.990.000 ;; $4.700.000 ; $542.250 ; $2.657.750 ; $1.500.000 ; $16.990.000 ;;ISO;-$1.700.000;-$1.700.000;-$1.700.000;;9%; $19.737.900 ; $16.586.471 ;;;;;;;;;
MOKKA MCA EDITION PLUS 1.2T AT8;;Mokka MCA Edition Plus Gasolina 130HP AT;1GQOSYKM61JRA050261;OP9014E61124S01-3;; $23.190.000 ; $19.487.395 ;; $4.100.000 ; $579.750 ; $3.520.250 ; $19.090.000 ;; $4.600.000 ; $579.750 ; $3.520.250 ; $500.000 ; $18.590.000 ;; $5.600.000 ; $579.750 ; $3.520.250 ; $1.500.000 ; $17.590.000 ;;ISO;-$2.400.000;-$2.400.000;-$2.400.000;;9%; $21.102.900 ; $17.733.529 ;;;;;;;;;
MOKKA MCA GS 1.2T AT8;;Mokka MCA GS Plus Gasolina 130HP AT;1GQOSYHM61JRA050179;OP9014E61124S01-3;; $24.790.000 ; $20.831.933 ;; $3.300.000 ; $619.750 ; $2.680.250 ; $21.490.000 ;; $3.800.000 ; $619.750 ; $2.680.250 ; $500.000 ; $20.990.000 ;; $4.800.000 ; $619.750 ; $2.680.250 ; $1.500.000 ; $19.990.000 ;;ISO;-$1.800.000;-$1.800.000;-$1.800.000;;9%; $22.558.900 ; $18.957.059 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OV64;;GRANDLAND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRANDLAND GS 1.2T MT6;;Grandland GS Gasolina 130HP MT;1GUOSYKNPKJ0TPH0000;OP8838E61122S00-5;; $25.790.000 ; $21.672.269 ;; $5.200.000 ; $644.750 ; $4.555.250 ; $20.590.000 ;; $5.400.000 ; $644.750 ; $4.555.250 ; $200.000 ; $20.390.000 ;; $5.800.000 ; $644.750 ; $4.555.250 ; $600.000 ; $19.990.000 ;;ISO;ISO;ISO;ISO;;9%; $23.468.900 ; $19.721.765 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OV64;;NEW GRANDLAND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Grandland GS Hybrid;;New Grandland GS Hybrid 136HP AT;1GO6SYUJH7NXA0B0000;OP9820E60125S00-4;; $32.690.000 ; $27.470.588 ;; $3.700.000 ; $817.250 ; $2.882.750 ; $28.990.000 ;; $4.700.000 ; $817.250 ; $2.882.750 ; $1.000.000 ; $27.990.000 ;; $5.700.000 ; $817.250 ; $2.882.750 ; $2.000.000 ; $26.990.000 ;;ISO;ISO;ISO;ISO;;9%; $29.747.900 ; $24.998.235 ;;;;;;;;;
New Grandland GS Plus Hybrid;;New Grandland GS Line Hybrid 136HP AT;1GO6SYUJH7NXA0B0343;OP9820E60125S00-4;; $35.190.000 ; $29.571.429 ;; $3.700.000 ; $879.750 ; $2.820.250 ; $31.490.000 ;; $4.700.000 ; $879.750 ; $2.820.250 ; $1.000.000 ; $30.490.000 ;; $5.700.000 ; $879.750 ; $2.820.250 ; $2.000.000 ; $29.490.000 ;;ISO;ISO;ISO;ISO;;9%; $32.022.900 ; $26.910.000 ;;;;;;;;;
New Grandland GS Plus Hybrid;;New Grandland GS Plus Hybrid 136HP AT;1GO6SYUJH7NXA0B0153;OP9820E60125S00-4;; $36.690.000 ; $30.831.933 ;; $3.700.000 ; $917.250 ; $2.782.750 ; $32.990.000 ;; $4.700.000 ; $917.250 ; $2.782.750 ; $1.000.000 ; $31.990.000 ;; $5.700.000 ; $917.250 ; $2.782.750 ; $2.000.000 ; $30.990.000 ;;ISO;ISO;ISO;ISO;;9%; $33.387.900 ; $28.057.059 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
