;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;LISTA DE PRECIOS VEHÍCULOS NUEVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Nº 06 - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1 de junio de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Tope CE;;;2,5%;;;;;;;;;;;;;;;;;;;;;;;;;
;;VEHÍCULOS PASAJEROS;LCDV;CIT;;PRECIO LISTA;;;TODO MEDIO DE PAGO;;;;;CRÉDITO CONVENCIONAL;;;;;;COMPRA INTELIGENTE;;;;;;"? Precio 
Lista M-1";"? Precio 
TMP M-1";"? Precio 
CC M-1";"? Precio 
CI M-1";;Margen Red;Costo CE;Factura Neta;;;;
KEY MCV;;;;;;CON IVA;SIN IVA;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;208 MCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308 Allure Puretech EAT8;;308 Allure Gasolina 130hp AT;1PP5A5PNP1J0A0D2000;PG8206E60422S00-7;; $23.790.000 ; $19.991.597 ;; $2.500.000 ; $594.750 ; $1.905.250 ; $21.290.000 ;; $2.900.000 ; $594.750 ; $1.905.250 ; $400.000 ; $20.890.000 ;; $3.800.000 ; $594.750 ; $1.905.250 ; $1.300.000 ; $19.990.000 ;;ISO;ISO;ISO;ISO;;9%; $21.648.900 ; $18.192.353 ;;#N/D;#N/D;#N/D
308 ALLURE MHEV 136 eDCT6;;308 Allure Hybrid 136hp AT;1PP5A5PJHWJ0A0E0013;PG9717E61124S00-0;; $28.290.000 ; $23.773.109 ;; $4.000.000 ; $707.250 ; $3.292.750 ; $24.290.000 ;; $4.400.000 ; $707.250 ; $3.292.750 ; $400.000 ; $23.890.000 ;; $5.300.000 ; $707.250 ; $3.292.750 ; $1.300.000 ; $22.990.000 ;;ISO;-$1.700.000;-$1.700.000;-$1.700.000;;9%; $25.743.900 ; $21.633.529 ;;#N/D;#N/D;#N/D
308 GT PURETECH 130 EAT8;;308 GT Gasolina 130hp AT;1PP5A5TNP1J0A0C2009;PG8206E60422S00-7;; $27.290.000 ; $22.932.773 ;; $2.300.000 ; $682.250 ; $1.617.750 ; $24.990.000 ;; $2.700.000 ; $682.250 ; $1.617.750 ; $400.000 ; $24.590.000 ;; $3.600.000 ; $682.250 ; $1.617.750 ; $1.300.000 ; $23.690.000 ;;ISO;ISO;ISO;ISO;;9%; $24.833.900 ; $20.868.824 ;;#N/D;#N/D;#N/D
308 GT MHEV 136 EDCT6;;308 GT Hybrid 136hp AT;1PP5A5TJHWJ0A0E0003;PG9717E61124S00-0;; $31.790.000 ; $26.714.286 ;; $4.000.000 ; $794.750 ; $3.205.250 ; $27.790.000 ;; $4.400.000 ; $794.750 ; $3.205.250 ; $400.000 ; $27.390.000 ;; $5.300.000 ; $794.750 ; $3.205.250 ; $1.300.000 ; $26.490.000 ;;ISO;-$1.700.000;-$1.700.000;-$1.700.000;;9%; $28.928.900 ; $24.310.000 ;;#N/D;#N/D;#N/D
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3008 ACTIVE PACK PURETECH 130;;3008 Active Pack Gasolina 130hp MT;1PP8SYLNPKJMA0E2132;PG8056E60620S00-9;; $25.290.000 ; $21.252.101 ;; $4.300.000 ; $632.250 ; $3.667.750 ; $20.990.000 ;; $4.700.000 ; $632.250 ; $3.667.750 ; $400.000 ; $20.590.000 ;; $5.600.000 ; $632.250 ; $3.667.750 ; $1.300.000 ; $19.690.000 ;;ISO;ISO;ISO;ISO;;9%; $23.013.900 ; $19.339.412 ;;#N/D;#N/D;#N/D
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;New 3008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New 3008 Allure MHEV 136 eDCT6;;New 3008 Allure Hybrid 136hp AT;1PPDSYRJH7NXA0C0000;PG9589E60724S00-2;; $30.790.000 ; $25.873.950 ;; $3.300.000 ; $769.750 ; $2.530.250 ; $27.490.000 ;; $4.800.000 ; $769.750 ; $2.530.250 ; $1.500.000 ; $25.990.000 ;; $5.800.000 ; $769.750 ; $2.530.250 ; $2.500.000 ; $24.990.000 ;;ISO;ISO;ISO;ISO;;9%; $28.018.900 ; $23.545.294 ;;#N/D;#N/D;#N/D
